step,elapsed_tokens,elapsed_examples,training_loss,training_token_accuracy
200,158656,400,0.899880574,0.729893778
201,159442,402,0.95949255,0.686985173
202,160308,404,0.943090409,0.689759036
203,161174,406,0.771365214,0.750737463
204,162008,408,0.968537306,0.723988439
205,162778,410,0.796302699,0.735652174
206,163596,412,0.895425271,0.725111441
207,164430,414,0.904940639,0.726153846
208,165136,416,0.984218717,0.71826087
209,166002,418,1.001782257,0.694029851
210,166724,420,1.113848337,0.6816609
211,167606,422,0.975767004,0.673590504
212,168440,424,0.913679229,0.724082935
213,169258,426,0.8994737,0.726283048
214,170108,428,0.95547281,0.663961039
215,170926,430,0.899008092,0.673469388
216,171648,432,0.990098164,0.722039474
217,172530,434,0.884864617,0.723372781
218,173348,436,0.866174911,0.708399366
219,174262,438,0.821099283,0.704225352
220,175080,440,0.894311925,0.7239819
221,176074,442,1.112331194,0.680497925
222,176796,444,0.768266893,0.743315508
223,177630,446,0.799796654,0.747663551
224,178512,448,0.906517479,0.716738197
225,179186,450,0.890882137,0.732421875
226,179972,452,0.754093566,0.761513158
227,180870,454,0.90039339,0.707848837
228,181688,456,0.953158967,0.69579288
229,182410,458,1.09200659,0.676320273
230,183212,460,0.90297119,0.72555205
231,184014,462,0.993052105,0.727549467
232,184752,464,0.886501571,0.70979021
233,185554,466,1.085720446,0.667826087
234,186340,468,0.788012198,0.7609375
235,187190,470,0.948138162,0.72172619
236,187928,472,1.017433791,0.680212014
237,188634,474,0.813227514,0.760204082
238,189644,476,0.745018231,0.729461756
239,190398,478,1.179761738,0.670454545
240,191152,480,0.855287741,0.721052632
241,192082,482,0.751525484,0.76077886
242,192932,484,0.995839033,0.693623639
243,193798,486,0.909162756,0.720300752
244,194632,488,1.051526889,0.663522013
245,195450,490,0.91594276,0.720447284
246,196172,492,1.015911997,0.698729583
247,197006,494,1.026806748,0.689497717
248,197760,496,0.963762134,0.711805556
249,198466,498,0.939719932,0.704545455
250,199252,500,0.819311102,0.723021583
251,199942,502,1.163654501,0.650537634
252,200728,504,0.952743536,0.691318328
253,201434,506,1.0497874,0.691768827
254,202220,508,1.076315773,0.6944
255,203006,510,1.076995635,0.688816856
256,203856,512,1.017086429,0.691558442
257,204562,514,0.963769704,0.705061082
258,205364,516,0.865767215,0.710479574
259,206102,518,1.02892792,0.679738562
260,206840,520,0.879772274,0.723728814
261,207738,522,1.175972965,0.668596237
262,208444,524,0.995096328,0.694200351
263,209214,526,0.945503261,0.724637681
264,210016,528,0.736626804,0.725663717
265,210738,530,1.11323725,0.673539519
266,211508,532,1.089435055,0.667763158
267,212310,534,0.722977862,0.748344371
268,213064,536,1.163416013,0.64811784
269,213818,538,0.744596329,0.766025641
270,214508,540,1.131682204,0.66061706
271,215294,542,0.907351643,0.722852512
272,216080,544,0.905334531,0.701724138
273,216802,546,0.936767107,0.72173913
274,217604,548,1.053749401,0.695512821
275,218406,550,0.967492391,0.692682927
276,219160,552,1.120626836,0.637655417
277,219930,554,0.787754985,0.743377483
278,220684,556,1.115650878,0.67003367
279,221438,558,0.901745388,0.714765101
280,222208,560,1.301711825,0.622033898
281,222994,562,0.953464987,0.69352014
282,223716,564,1.122156839,0.68556701
283,224598,566,0.733917076,0.745127436
284,225448,568,1.063855612,0.682890855
285,226218,570,0.944737841,0.696666667
286,227068,572,0.872541169,0.735905045
287,227854,574,0.944365675,0.716108453
288,228656,576,0.867049426,0.71899529
289,229410,578,1.050648518,0.682119205
290,230212,580,0.900930414,0.697160883
291,230982,582,1.097914333,0.662939297
292,231752,584,0.960601462,0.733017378
293,232538,586,0.991636798,0.701587302
294,233260,588,1.004498684,0.707612457
295,233998,590,0.860553832,0.736013986
296,234944,592,0.954898248,0.703190014
297,235682,594,1.068046488,0.688135593
298,236484,596,0.823608014,0.718309859
299,237206,598,1.119159386,0.655367232
300,238024,600,0.80281787,0.742038217
301,238874,602,0.961346764,0.68503937
302,239660,604,0.903154213,0.705501618
303,240510,606,0.8932519,0.731634183
304,241296,608,0.936985078,0.708469055
305,242050,610,0.899898122,0.715242881
306,242820,612,0.851146198,0.75310559
307,243622,614,0.969902043,0.701754386
308,244376,616,0.86678133,0.72892562
309,245162,618,1.013364285,0.698205546
310,246012,620,0.92128613,0.716666667
311,246766,622,0.952146855,0.712871287
312,247536,624,1.066824856,0.676616915
313,248578,626,0.861820691,0.695461201
314,249348,628,0.669696382,0.780645161
315,250198,630,1.115074917,0.69054878
316,250904,632,0.916498131,0.731046931
317,251738,634,0.742335248,0.770416025
318,252540,636,0.909529576,0.694444444
319,253342,638,0.876677681,0.742033384
320,254176,640,0.995394161,0.679153094
321,254930,642,0.737405255,0.748726655
322,255748,644,0.865463557,0.728278041
323,256550,646,1.104777821,0.672268908
324,257352,648,0.817148672,0.751159196
325,258250,650,0.873718233,0.741176471
326,259020,652,0.836973261,0.73344652
327,259870,654,0.937719671,0.731213873
328,260656,656,0.959888779,0.697324415
329,261426,658,0.9350569,0.712460064
330,262292,660,0.94801734,0.685897436
331,263046,662,0.95671934,0.690777577
332,263928,664,1.030196059,0.680173661
333,264698,666,1.031037774,0.679549114
334,265436,668,0.930730015,0.715789474
335,266190,670,0.923431569,0.697345133
336,266960,672,1.039227728,0.660958904
337,267730,674,0.918119092,0.708542714
338,268500,676,0.919148028,0.708196721
339,269222,678,0.925943099,0.710169492
340,270184,680,0.819884328,0.705627706
341,271018,682,0.960843935,0.711890244
342,271804,684,1.03260061,0.663907285
343,272590,686,1.022329326,0.681818182
344,273328,688,0.89145017,0.71799308
345,274066,690,1.0157775,0.696113074
346,274932,692,0.97569125,0.711964549
347,275654,694,0.813063011,0.737142857
348,276456,696,0.954823088,0.714285714
349,277226,698,1.002532041,0.697478992
350,277996,700,0.973944383,0.694942904
351,278782,702,0.855328878,0.726229508
352,279648,704,0.829405636,0.728125
353,280482,706,0.919899264,0.712903226
354,281236,708,0.907338765,0.74411303
355,281974,710,1.011208201,0.69846678
356,282856,712,0.880585959,0.718289086
357,283722,714,0.970765784,0.686453577
358,284524,716,0.832610286,0.710784314
359,285358,718,0.80844544,0.743464052
360,286080,720,0.805518432,0.742451155
361,286802,722,0.94618986,0.696588869
362,287620,724,0.910189107,0.725118483
363,288390,726,0.964124918,0.691919192
364,289240,728,0.960539403,0.724743777
365,290010,730,0.813088513,0.717241379
366,290764,732,0.919210846,0.715719064
367,291550,734,0.852417397,0.721666667
368,292336,736,0.836187275,0.734660033
369,293186,738,0.972845618,0.689127106
370,294020,740,1.044955648,0.698630137
371,294918,742,0.831384174,0.712609971
372,295752,744,1.018336004,0.648780488
373,296618,746,0.81012921,0.741984733
374,297372,748,1.039851813,0.672473868
375,298270,750,0.872072344,0.710566616
376,299072,752,0.852766168,0.733974359
377,299874,754,0.790771886,0.729549249
378,300724,756,1.053205727,0.678362573
379,301606,758,0.845062705,0.711568938
380,302392,760,1.020188171,0.669449082
381,303162,762,1.170952598,0.651888342
382,303932,764,0.893943187,0.725203252
383,304718,766,0.965324395,0.676785714
384,305536,768,0.905222986,0.721212121
385,306370,770,0.971105179,0.708527132
386,307220,772,1.043808736,0.70075188
387,308070,774,1.084207166,0.696696697
388,308776,776,1.027767212,0.68989547
389,309530,778,0.915520845,0.733333333
390,310284,780,1.042762765,0.702020202
391,311134,782,0.788368822,0.737226277
392,311872,784,0.936560894,0.709156194
393,312754,786,0.851380729,0.728467153
394,313812,788,0.919583631,0.711111111
395,314630,790,1.082878473,0.690208668
396,315416,792,0.781184748,0.758675079
397,316266,794,0.880325825,0.707241911
398,317020,796,0.944876595,0.717647059
399,317854,798,0.764976433,0.766615147
400,318624,800,0.925490859,0.689482471
401,319394,802,0.875515279,0.719471947
402,320180,804,0.977029731,0.701923077
403,320902,806,0.930211011,0.733898305
404,321656,808,0.817219604,0.747993579
405,322426,810,1.030639846,0.681666667
406,323260,812,0.792447834,0.741353383
407,324110,814,0.696641487,0.770731707
408,324864,816,1.013754705,0.708688245
409,325666,818,1.203332599,0.655791191
410,326468,820,1.036531832,0.69183359
411,327254,822,1.007126402,0.686468647
412,327992,824,0.898633084,0.712439418
413,328794,826,0.814756285,0.73095624
414,329596,828,0.980396928,0.706436421
415,330350,830,0.821941895,0.733333333
416,331072,832,0.889512275,0.719237435
417,331842,834,1.157990581,0.638801262
418,332628,836,0.89289018,0.715231788
419,333478,838,0.972317759,0.728789986
420,334248,840,1.086057608,0.662847791
421,335002,842,1.032681298,0.685950413
422,335740,844,0.778068662,0.755793226
423,336510,846,1.014543758,0.708737864
424,337280,848,0.857040741,0.724913495
425,338002,850,0.924977888,0.730508475
426,338820,852,1.042856416,0.66722973
427,339638,854,0.977877748,0.671497585
428,340408,856,0.816446996,0.747884941
429,341178,858,1.136556386,0.674641148
430,341932,860,0.893274628,0.728040541
431,342702,862,1.055047958,0.676818951
432,343520,864,0.736307666,0.725834798
433,344338,866,0.880138184,0.743902439
434,345124,868,1.054519425,0.683087028
435,345846,870,1.042033846,0.721581549
436,346552,872,0.701458308,0.783831283
437,347338,874,1.00474976,0.689482471
438,348092,876,0.980466821,0.729131175
439,348830,878,0.914536233,0.707563025
440,349696,880,0.859408436,0.747747748
441,350546,882,0.727932091,0.767938931
442,351316,884,0.968969042,0.729133858
443,352054,886,0.96390421,0.721202003
444,352760,888,1.093902083,0.658088235
445,353578,890,0.934362491,0.683087028
446,354300,892,0.880502601,0.719387755
447,355102,894,0.925724865,0.703049759
448,355904,896,0.838646323,0.741214058
449,356770,898,0.807959404,0.726993865
450,357556,900,1.098189049,0.660504202
451,358342,902,0.959604415,0.698854337
452,359064,904,0.910758574,0.725952813
453,359802,906,1.076040676,0.670050761
454,360556,908,0.872699986,0.743986254
455,361486,910,0.800481506,0.73149492
456,362336,912,1.035280648,0.675036928
457,363218,914,0.935379605,0.694488189
458,364052,916,0.89922763,0.702492212
459,364790,918,0.937183374,0.721283784
460,365528,920,1.037629308,0.657142857
461,366362,922,0.884139636,0.719814241
462,367100,924,1.026353259,0.694174757
463,367902,926,0.87606938,0.724659607
464,368704,928,0.914994219,0.729903537
465,369506,930,1.016059781,0.705229794
466,370260,932,0.823151886,0.747163695
467,371046,934,0.845651495,0.737357259
468,371832,936,1.060184472,0.676222597
469,372698,938,0.966941199,0.696825397
470,373436,940,0.982550571,0.701873935
471,374190,942,0.882539102,0.73559322
472,374896,944,1.075059823,0.711072664
473,375650,946,0.937264227,0.681081081
474,376388,948,0.969630946,0.700917431
475,377142,950,0.897485065,0.737785016
476,377944,952,1.185078184,0.647151899
477,378682,954,0.855019275,0.727121464
478,379404,956,1.170892521,0.657801418
479,380142,958,1.064649953,0.672297297
480,380832,960,0.922422626,0.749571184
481,381666,962,1.055083577,0.664025357
482,382468,964,1.003826843,0.700499168
483,383238,966,0.794135181,0.746688742
484,384120,968,0.882423605,0.711180124
485,384922,970,1.059105723,0.666666667
486,385676,972,1.055473769,0.68707483
487,386398,974,0.867115661,0.745362563
488,387296,976,0.993135515,0.670694864
489,388162,978,1.034248316,0.692640693
490,388964,980,0.952405584,0.717391304
491,389830,982,0.847471535,0.718901454
492,390648,984,1.030849113,0.655821918
493,391418,986,1.033504243,0.675540765
494,392236,988,0.788300944,0.753646677
495,392990,990,1.12332062,0.66062603
496,393776,992,0.944403523,0.718446602
497,394658,994,0.823924572,0.733711048
498,395476,996,0.983959334,0.702229299
499,396198,998,0.98457901,0.709964413
500,396984,1000,1.008677784,0.68815331
501,397802,1002,0.778211384,0.743961353
502,398524,1004,0.769890916,0.745583039
503,399278,1006,1.065078571,0.681742044
504,400048,1008,0.946140666,0.732594937
505,400914,1010,0.722991043,0.751623377
506,401716,1012,1.063922795,0.695102686
507,402534,1014,1.087622402,0.660347551
508,403320,1016,1.049309725,0.697674419
509,404106,1018,0.898471113,0.705172414
510,404844,1020,0.938681971,0.708818636
511,405614,1022,0.86393253,0.75566343
512,406464,1024,0.942720759,0.697017268
513,407234,1026,0.973897641,0.663763066
514,408004,1028,0.908958745,0.715220949
515,408774,1030,1.029872362,0.697478992
516,409624,1032,0.99251588,0.6768
517,410426,1034,0.927297717,0.720858896
518,411132,1036,1.064854912,0.722891566
519,411854,1038,0.838984652,0.749568221
520,412672,1040,0.967474061,0.717488789
521,413442,1042,0.842205455,0.737357259
522,414148,1044,0.955930764,0.715034965
523,414918,1046,1.081092679,0.685
524,415688,1048,0.701367977,0.775777414
525,416554,1050,0.900953065,0.680743243
526,417340,1052,1.047273918,0.706708268
527,418126,1054,1.256083104,0.648601399
528,418880,1056,0.852396727,0.730017762
529,419650,1058,0.994867696,0.672496025
530,420516,1060,0.956017182,0.717872969
531,421286,1062,0.881906959,0.709302326
532,422072,1064,0.833019555,0.749196141
533,422874,1066,0.859316563,0.729264476
534,423644,1068,0.861589551,0.739344262
535,424430,1070,0.986450893,0.718446602
536,425136,1072,1.002562613,0.686924494
537,425938,1074,0.958381218,0.697792869
538,426676,1076,0.918097252,0.682745826
539,427494,1078,1.050070284,0.664596273
540,428248,1080,0.917729907,0.674033149
541,428970,1082,0.952565423,0.721088435
542,429708,1084,0.91225767,0.703315881
543,430398,1086,0.837232097,0.761658031
544,431136,1088,0.879279563,0.722513089
545,431874,1090,1.100033624,0.698675497
546,432564,1092,0.957465327,0.698863636
547,433286,1094,0.916453292,0.716981132
548,434056,1096,0.805905766,0.755737705
549,434826,1098,0.900363028,0.719532554
550,435660,1100,0.902365426,0.727136432
551,436462,1102,0.884029633,0.720190779
552,437248,1104,1.023199663,0.704318937
553,437986,1106,0.846967125,0.744791667
554,438740,1108,0.945320312,0.701149425
555,439446,1110,1.027157319,0.697022767
556,440168,1112,0.956544741,0.696610169
557,440890,1114,0.892283928,0.722972973
558,441612,1116,1.048933657,0.671102662
559,442478,1118,0.941317627,0.715361446
560,443296,1120,0.873901991,0.750764526
561,444066,1122,0.950111163,0.702564103
562,444852,1124,0.993393916,0.690163934
563,445590,1126,1.003946338,0.715771231
564,446344,1128,0.951017743,0.703349282
565,447146,1130,1.046618582,0.675630252
566,447900,1132,1.04019114,0.68245614
567,448718,1134,0.762971012,0.755233494
568,449424,1136,0.762591522,0.761324042
569,450114,1138,0.933934936,0.703508772
570,450900,1140,1.048183984,0.702439024
571,451782,1142,1.005334733,0.70310192
572,452504,1144,0.803460565,0.745062837
573,453274,1146,0.781056222,0.730834753
574,454124,1148,0.904767442,0.705148206
575,454862,1150,0.736856098,0.773489933
576,455712,1152,0.803039652,0.71043771
577,456546,1154,0.746247061,0.753554502
578,457316,1156,1.065029009,0.668852459
579,458086,1158,0.785551003,0.746812386
580,458888,1160,0.817360824,0.741776316
581,459674,1162,1.07352002,0.685393258
582,460412,1164,0.956026615,0.707236842
583,461182,1166,0.917469888,0.715447154
584,462064,1168,0.958501427,0.725071225
585,462802,1170,0.830985096,0.740802676
586,463636,1172,0.965832405,0.704510109
587,464390,1174,0.968423086,0.685950413
588,465240,1176,0.835680571,0.725705329
589,465994,1178,0.888054361,0.711148649
590,466924,1180,0.751623692,0.71291866
591,467726,1182,0.809160312,0.759933775
592,468608,1184,0.830222667,0.741797432
593,469362,1186,1.016217034,0.685185185
594,470148,1188,0.829871251,0.741214058
595,470902,1190,0.880114902,0.716150082
596,471656,1192,0.888569364,0.713793103
597,472458,1194,0.876394858,0.72327044
598,473196,1196,0.867510754,0.723183391
599,473934,1198,1.060971387,0.699490662
600,474720,1200,1.147622402,0.669796557
601,475554,1202,0.926754962,0.721884498
602,476324,1204,0.945227808,0.721259843
603,477094,1206,1.186938256,0.652920962
604,477832,1208,1.00457245,0.691176471
605,478618,1210,0.932629757,0.7152
606,479404,1212,0.900466395,0.736925515
607,480206,1214,1.001619061,0.704013378
608,480976,1216,0.910512031,0.715547703
609,481874,1218,0.802745585,0.72972973
610,482612,1220,1.007216329,0.734557596
611,483414,1222,0.865181411,0.709003215
612,484296,1224,0.848157892,0.71958457
613,485178,1226,0.901621442,0.715529753
614,485996,1228,0.735593774,0.744463373
615,486862,1230,0.725828086,0.745736434
616,487616,1232,0.859114787,0.743801653
617,488386,1234,0.800763152,0.75041876
618,489172,1236,0.81898864,0.723905724
619,489974,1238,0.904059676,0.749601276
620,490728,1240,0.904391525,0.725363489
621,491690,1242,0.787191399,0.734576758
622,492524,1244,0.750399376,0.737179487
623,493342,1246,0.618928247,0.787269682
624,494272,1248,0.712618655,0.724292101
625,495090,1250,1.001793814,0.704579025
626,495876,1252,0.774829479,0.748822606
627,496678,1254,0.937030348,0.726998492
628,497448,1256,0.954218584,0.704318937
629,498218,1258,0.95783079,0.692832765
630,499036,1260,0.742952613,0.768545994
631,499886,1262,0.733449177,0.749608764
632,500672,1264,0.590288406,0.806020067
633,501410,1266,0.842398315,0.726296959
634,502228,1268,0.76632535,0.76031746
635,503062,1270,0.823788303,0.751612903
636,503784,1272,0.82488736,0.759862779
637,504570,1274,0.849429671,0.725085911
638,505372,1276,0.771990764,0.754098361
639,506110,1278,0.727500572,0.783034258
640,506912,1280,0.610493281,0.789644013
641,507730,1282,0.623019533,0.779151943
642,508468,1284,0.741562275,0.726465364
643,509238,1286,0.794572118,0.747524752
644,510040,1288,0.861968788,0.748466258
645,510794,1290,0.67078826,0.779632721
646,511836,1292,0.746760757,0.726597325
647,512670,1294,0.983411712,0.719939117
648,513392,1296,0.932615726,0.725043783
649,514242,1298,0.801533814,0.742283951
650,515076,1300,0.936392839,0.702702703
651,515878,1302,0.805755391,0.74516129
652,516648,1304,0.83304053,0.726962457
653,517402,1306,0.785911213,0.767366721
654,518204,1308,0.881400533,0.72143975
655,518990,1310,0.829796704,0.725217391
656,519808,1312,0.968727847,0.711009174
657,520530,1314,1.056106679,0.670120898
658,521332,1316,0.667351997,0.753926702
659,522054,1318,0.882108786,0.704974271
660,522872,1320,0.824004559,0.749235474
661,523594,1322,0.837345684,0.746059545
662,524396,1324,0.827006439,0.718855219
663,525182,1326,0.979756828,0.702749141
664,526064,1328,0.784032652,0.727559055
665,526834,1330,0.817605605,0.731147541
666,527636,1332,0.905385967,0.728125
667,528374,1334,0.783352342,0.755972696
668,529128,1336,0.75786462,0.737676056
669,529898,1338,0.8582117,0.761437908
670,530636,1340,0.839435545,0.746575342
671,531486,1342,0.682252836,0.776911076
672,532320,1344,0.71565935,0.765506808
673,533138,1346,0.739915594,0.74025974
674,533924,1348,0.718176542,0.781847134
675,534694,1350,0.804772536,0.760497667
676,535496,1352,0.777656126,0.754601227
677,536234,1354,0.835693729,0.74137931
678,537020,1356,0.723630411,0.77398374
679,537774,1358,0.854491641,0.73253833
680,538560,1360,1.090338277,0.678288431
681,539314,1362,0.831634952,0.741269841
682,540036,1364,0.937666385,0.737478411
683,540774,1366,0.79376252,0.736283186
684,541528,1368,0.715243083,0.766942149
685,542282,1370,0.790643885,0.754934211
686,543068,1372,0.764804709,0.736577181
687,543822,1374,0.983017675,0.687713311
688,544752,1376,0.739844002,0.748579545
689,545474,1378,0.999571165,0.730185497
690,546324,1380,0.702420102,0.741885626
691,547174,1382,0.707231293,0.719387755
692,547880,1384,0.774403547,0.752244165
693,548682,1386,0.652409948,0.790584416
694,549468,1388,1.118366457,0.672580645
695,550270,1390,0.866214742,0.71147541
696,551120,1392,1.014501089,0.693129771
697,551874,1394,0.739786005,0.753872633
698,552580,1396,0.708149426,0.766956522
699,553430,1398,0.704872278,0.774885145
700,554232,1400,0.69596475,0.754208754
701,555002,1402,0.900361187,0.701188455
702,555884,1404,0.979685298,0.72230014
703,556670,1406,0.936648876,0.714991763
704,557456,1408,1.070834217,0.68556701
705,558274,1410,0.843301351,0.71899529
706,559092,1412,0.828297187,0.743362832
707,559894,1414,0.722883912,0.725092251
708,560728,1416,0.938383249,0.710644678
709,561482,1418,0.860199889,0.719512195
710,562252,1420,0.933205892,0.697123519
711,563102,1422,0.712288471,0.756797583
712,563904,1424,0.81815592,0.734557596
713,564658,1426,0.904994274,0.703577513
714,565508,1428,0.89023703,0.735703246
715,566310,1430,0.826609765,0.741116751
716,567192,1432,0.808572293,0.740356083
717,567978,1434,0.827484007,0.747557003
718,568716,1436,0.849429032,0.729411765
719,569470,1438,0.777603014,0.747524752
720,570352,1440,0.765504095,0.732283465
721,571202,1442,0.725970426,0.76035503
722,572052,1444,0.833590174,0.720430108
